,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f111038,f5802,..QUEIJO RALADO PARMISSIMO CXA 50X50G,50,50,5.5
1,f810372,f6911,BISC VISCONTI AMANT CHOCOLATE PCT 335G,50,1,5.99
2,f860762,f5269,BOLINHO BAUDUCCO BAUN C/CHOC. 14X40G,50,14,1.99
3,f860073,f5796,BOLINHO BAUDUCCO BAUN C/MORANGO 14X40G,50,14,1.99
4,f860670,f5797,BOLINHO BAUDUCCO BRIGADEIRO 14X40G,50,14,1.99
5,f860118,f181223,BOLINHO BAUDUCCO DUPLO CHOC. 14X40G,50,14,1.99
6,f836134,f1376,PAO DE FORMA VISCONTI INTEGRAL CXA 8X400G,50,1,8.50
7,f836133,f1377,PAO DE FORMA VISCONTI TRADICIONAL CXA 8X400G,50,1,7.50
8,f65007,f05565,RECHEADINHO CHOCOLATE BAUDUCCO PCT 104G,50,1,3.5
9,f65006,f72,RECHEADINHO GOIABINHA BAUDUCCO PCT 112G,50,1,3.5
