,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f0002349,f173916,GUARANA CHP ANTARCTICA PET 2L CAIXA C/6,50,6,8.99
1,f0019229,f2950,RED BULL BR LATA 250ML SIX PACK NPAL .,50,6,10.5
2,f0007977,f2408211,GATORADE UVA PET 500ML SIXPACK,50,6,5.99
3,f0000503,f3752,SUKITA PET 2L CAIXA C/6,50,6,6.99
4,f0008923,f72347,PEPSI COLA PET 600ML CX12 NPAL,50,12,4.99
5,f0018266,f6804,PEPSI COLA PET 200ML SH C/12,50,12,1.5
6,f0008919,f10093,GUARANA CHP ANTARCTICA PET 600ML CX12 NPAL,50,12,4.99
7,f0018152,f3754,GUARANA CHP ANTARCTICA PET 200ML SH C/12,50,12,1.5
8,f0007980,f2126,GATORADE TANGERINA PET 500ML SIXPACK,50,6,5.99
9,f0002585,f3751,GUARANA CHP ANTARCTICA GFA VD 1L,20,12,3.99
10,f0008791,f61,H2OH LIMAO C/GAS PET 500ML CAIXA C/12,50,12,3.99
11,f0019227,f2101225,RED BULL BR LATA 355ML FOUR PACK .,50,4,11.99
12,f0011593,f5090,PEPSI COLA GFA VD 1L,20,12,3.5
13,f0022003,f996653,"HALLS CEREJA ENVELOPE 28G CX C/21          19,9500",50,21,1.5
14,f0021791,f33,"PIRASSUNUNGA 51 GARRAFA VIDRO 965ML        10,7200",50,1,16.2
15,f0021968,f187,"TRIDENT HORTELA ENVELOPE 8G CX C/21        26,9000",50,21,1.99
16,f0022641,f251,"PRESIDENTE CONHAQ GARRAFA VIDRO 900ML      12,9900",50,1,19.5
17,f0008411,f1434,"GUARANA CHP ANTARCTICA PET 1,5 SHRINK C/6",50,6,6.5
